Year,Mortgage Rate,Alberta,Atlantic Region,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan,Pct yearly change in TSX,Total current consumption,Total expenditure,Debt to disposable income ratio,Real estate as a share of disposable income,Mortgage liabilities as a share of total assets,Assets as a share of net worth
2010,4.815,93.23333333333333,94.59166666666668,95.99999999999999,81.99999999999999,98.45833333333336,94.74999999999999,91.01666666666665,76.94166666666666,99.52500000000003,94.49166666666667,95.52499999999999,21.17220449040995,54013.0,72075.0,167.2,372.7,11.4,122.7
2011,4.569166666666668,92.8,96.40833333333332,95.74166666666667,86.47500000000001,98.78333333333335,97.66666666666667,92.46666666666665,80.575,101.13333333333334,95.94166666666666,97.89999999999999,-11.783509285352185,55227.0,73646.0,169.7,389.3,11.5,122.7
2012,4.236666666666667,94.2,97.16666666666664,94.30833333333334,89.93333333333334,98.01666666666667,97.76666666666665,95.05833333333332,84.53333333333333,101.125,97.36666666666667,100.39166666666667,-0.14953241006572343,56330.0,75695.0,170.0,402.5,11.3,121.8
2013,4.17,97.44999999999999,98.84999999999998,92.73333333333333,93.59166666666665,98.11666666666669,99.43333333333334,97.79166666666667,86.625,101.59166666666664,98.55000000000001,102.04999999999997,7.381098032043537,58576.0,79098.0,169.9,412.8,11.0,121.1
2014,4.076666666666666,101.30833333333334,99.15000000000002,91.14999999999998,95.02499999999999,97.98333333333335,100.09166666666668,98.14999999999999,88.60833333333333,100.00833333333333,98.82499999999999,103.95833333333333,6.845594066129533,59055.0,80727.0,171.8,421.9,10.8,120.3
2015,3.7708333333333335,101.58333333333333,99.40833333333335,92.48333333333335,96.20833333333333,97.81666666666666,100.18333333333335,98.875,91.16666666666667,99.78333333333332,98.89166666666667,102.77499999999999,-11.336983455867312,60516.0,82697.0,173.4,433.2,10.9,120.3
2016,3.7008333333333336,100.49166666666667,99.625,98.61666666666666,98.56666666666666,98.64166666666667,100.10833333333335,99.2,96.86666666666666,100.06666666666666,99.68333333333334,100.35000000000001,19.228162559574745,62183.0,84489.0,182.3,465.6,10.7,119.8
2017,3.7891666666666666,99.95833333333333,99.96666666666665,104.84166666666668,102.78333333333335,100.35000000000001,99.04166666666667,100.74166666666666,102.65000000000002,100.15833333333335,100.66666666666667,99.54166666666667,5.350137397991416,63723.0,86070.0,183.0,461.4,10.7,119.8
